"id","polygon"
building_800,POINT(2.34343 48.86122)
building_801,POINT(2.34334 48.86124)
building_802,POINT(2.3432 48.86128)
building_803,POINT(2.34307 48.8613)
building_804,POINT(2.34301 48.8613)
building_806,POINT(2.34274 48.86134)
building_807,POINT(2.34224 48.86142)
building_809,POINT(2.34066 48.86175)
building_812,POINT(2.335 48.86335)
building_813,POINT(2.33483 48.86344)
building_814,POINT(2.33466 48.86352)
building_815,POINT(2.33384 48.86393)
building_816,POINT(2.33373 48.86399)
building_817,POINT(2.33357 48.86407)
building_818,POINT(2.3334 48.86414)
building_820,POINT(2.33223 48.8647)
building_822,POINT(2.33206 48.86478)
building_823,POINT(2.33172 48.86493)
building_825,POINT(2.33151 48.86505)
building_826,POINT(2.33137 48.86511)
building_827,POINT(2.33126 48.86517)
building_830,POINT(2.33025 48.86569)
building_831,POINT(2.32998 48.86583)
building_833,POINT(2.32945 48.86608)
building_834,POINT(2.32918 48.86622)
building_836,POINT(2.32876 48.86643)
building_839,POINT(2.32771 48.86686)
building_840,POINT(2.32713 48.86708)
building_841,POINT(2.32683 48.86718)
building_842,POINT(2.32648 48.86705)
building_843,POINT(2.32643 48.86729)
building_844,POINT(2.32629 48.86735)
building_845,POINT(2.32569 48.86694)
building_846,POINT(2.32485 48.86777)
building_847,POINT(2.34438 48.86119)
building_848,POINT(2.34428 48.8612)
building_850,POINT(2.34399 48.86132)
building_851,POINT(2.34379 48.86127)
building_852,POINT(2.34373 48.86128)
building_853,POINT(2.34367 48.8613)
building_854,POINT(2.34353 48.8614)
building_855,POINT(2.34342 48.86134)
building_856,POINT(2.34335 48.86135)
building_857,POINT(2.34289 48.86144)
building_859,POINT(2.34263 48.8615)
building_860,POINT(2.34248 48.8615)
building_861,POINT(2.34206 48.86158)
building_862,POINT(2.34197 48.86179)
building_863,POINT(2.34081 48.86187)
building_864,POINT(2.34061 48.8619)
building_865,POINT(2.34056 48.86192)
building_866,POINT(2.3402 48.86201)
building_868,POINT(2.33997 48.86206)
building_870,POINT(2.33946 48.86223)
building_871,POINT(2.33939 48.86225)
building_873,POINT(2.33803 48.86259)
building_874,POINT(2.33794 48.86263)
building_875,POINT(2.33787 48.86265)
building_876,POINT(2.33766 48.86288)
building_877,POINT(2.3342 48.86402)
building_879,POINT(2.33363 48.86419)
building_880,POINT(2.33358 48.86421)
building_881,POINT(2.33353 48.86424)
building_882,POINT(2.33331 48.86434)
building_883,POINT(2.33323 48.86438)
building_884,POINT(2.33316 48.86442)
building_885,POINT(2.33296 48.86454)
building_886,POINT(2.33299 48.86474)
building_888,POINT(2.33146 48.86524)
building_889,POINT(2.33131 48.86531)
building_891,POINT(2.33117 48.86539)
building_892,POINT(2.3311 48.86543)
building_893,POINT(2.33097 48.86559)
building_894,POINT(2.33186 48.86504)
building_895,POINT(2.33177 48.86509)
building_896,POINT(2.33077 48.86576)
building_897,POINT(2.33047 48.86574)
building_898,POINT(2.33041 48.86615)
building_899,POINT(2.33002 48.86598)
building_900,POINT(2.32985 48.86607)
building_901,POINT(2.3297 48.86615)
building_902,POINT(2.32947 48.86627)
building_903,POINT(2.32936 48.86649)
building_904,POINT(2.32907 48.86648)
building_905,POINT(2.32561 48.868)
building_906,POINT(2.32511 48.86785)
building_907,POINT(2.32491 48.86792)
building_909,POINT(2.32623 48.86759)
building_910,POINT(2.32833 48.86729)
building_912,POINT(2.33205 48.86588)
building_913,POINT(2.33157 48.866)
building_914,POINT(2.33154 48.86611)
building_915,POINT(2.33139 48.86615)
building_916,POINT(2.33294 48.86511)
building_917,POINT(2.33148 48.86435)
building_919,POINT(2.33221 48.86543)
building_921,POINT(2.3324 48.86574)
